item_type,run_id,session,subtype,value,times_drawn,expected_times,draws_since,last_seen,baseline_priority_score,why_flagged,source_url
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,33,15,,4454,2022-04-16,23.02,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,22,15,,3320,2023-04-29,17.35,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,59,82,,1056,2025-05-22,11.31,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,093,1,9.76,9403,1999-03-01,10.302468,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,69,67,,718,2025-09-12,7.93,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,55,23,,1378,2025-02-04,7.64,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,650,4,9.76,7003,2006-10-30,7.594599,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,752,3,9.76,6665,2007-11-28,7.358989,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,804,9,11.97,7018,2007-02-23,7.268466,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,353,21,25.1,6959,2020-01-02,7.122901,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,270,3,11.97,6333,2009-01-05,7.08449,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,536,5,11.97,6136,2009-07-21,6.72034,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,081,5,9.76,6037,2009-10-28,6.525942,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,078,20,25.1,6110,2020-10-11,6.313674,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN043,Midday,All box combinations,234,65,58.54,1036,2023-07-08,6.215151,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,651,20,25.1,5936,2020-12-08,6.13966,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,273,4,11.97,5370,2011-08-26,6.037626,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,815,4,9.76,5407,2011-07-20,5.998272,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,134,5,9.76,5421,2011-07-06,5.909816,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,002,7,9.76,5520,2011-03-29,5.803918,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,13,222,,504,2025-11-22,5.79,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN002,Midday|Evening|Night,All box combinations,467,139,150.56,942,2025-06-29,5.727729,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,591,19,25.1,5453,2021-05-18,5.696462,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,953,20,25.1,5483,2021-05-08,5.686624,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,388,7,9.76,5338,2011-09-27,5.621881,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,222,7,11.97,5170,2012-03-13,5.586933,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,222,7,11.97,5170,2012-03-13,5.586933,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,078,11,11.97,5457,2011-05-31,5.53986,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,391,10,11.97,5303,2011-11-01,5.469351,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,569,65,71.78,890,2023-12-01,5.433265,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,600,3,9.76,4737,2013-05-20,5.430594,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,109,24,25.1,5355,2021-06-19,5.399251,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,087,20,25.1,4958,2021-10-30,5.161582,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,970,6,11.97,4570,2013-11-03,5.070275,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,027,6,9.76,4648,2013-08-17,5.034199,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN047,Night,All box combinations,169,10,20.24,750,2024-04-19,5.00504,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,453,6,9.76,4594,2013-10-10,4.980187,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,544,7,11.97,4558,2013-11-15,4.974728,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN006,Midday|Evening|Night,Back Pair Straight,42,233,251,830,2025-08-06,4.971713,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,105,3,9.76,4268,2014-09-01,4.961498,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,759,5,9.76,4461,2014-02-20,4.949619,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,142,5,9.76,4432,2014-03-21,4.920613,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,333,15,25.1,4454,2022-04-16,4.856745,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN002,Midday|Evening|Night,All box combinations,333,15,25.1,4454,2022-04-16,4.856745,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,181,6,11.97,4351,2014-06-10,4.851201,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,11,20,,817,2025-08-10,4.835,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN034,Night,Front Pair Box,57,60,67.5,396,2025-04-08,4.821111,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,859,4,9.76,4225,2014-10-14,4.81603,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,011,6,11.97,4275,2014-08-25,4.775176,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,552,6,9.76,4389,2014-05-03,4.775145,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,490,10,11.97,4600,2013-10-04,4.766116,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN043,Midday,All box combinations,289,50,58.54,768,2024-04-01,4.753254,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,233,4,9.76,4134,2015-01-13,4.725011,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,405,7,11.97,4212,2014-10-27,4.628613,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,722,5,9.76,4107,2015-02-09,4.595547,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,342,22,25.1,4470,2022-04-10,4.593862,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,257,73,71.78,764,2024-04-05,4.582978,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,995,8,9.76,4400,2014-04-22,4.58123,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,340,5,11.97,3982,2015-06-14,4.56562,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN002,Midday|Evening|Night,All box combinations,117,68,75.3,1489,2024-12-29,4.564302,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,754,22,25.1,4430,2022-04-24,4.553859,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,627,3,9.76,3856,2015-10-18,4.549413,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,680,5,9.76,4027,2015-04-30,4.51553,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN006,Midday|Evening|Night,Back Pair Straight,45,264,251,748,2025-09-02,4.49,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,41,110,119.7,731,2024-05-08,4.486036,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN047,Night,All box combinations,004,2,10.12,1218,2023-01-07,4.45565,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,676,16,11.97,4419,2014-04-03,4.420477,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,230,8,11.97,4086,2015-03-02,4.419028,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,563,5,9.76,3889,2015-09-15,4.377502,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,084,8,9.76,4191,2014-11-17,4.372187,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,006,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,078,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,088,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,096,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,101,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,105,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
